objectid,objectid_1,loc_time,loc_year,loc_qtr,loc_no,loc_nm,sample_day,temp,ph,do_,salinity,cod,coliform_cnt,t_n,t_p,cn,cu,pb,cd,zn,cr,as_,ni,hg,phenol,no3_n,no2_n,nh3_n,din,dip,chl_a,low_do,transparency,toc,din_wqi,dip_wqi,chl_a_wqi,low_do_wqi,transparency_wqi,wqi_score,wqi_grade,gubun,timeseries,x,y
16,16,2019년 1분기,2019,1,16,석모도 서남방,2019-02-14 9:11,0.3,7.93,12.04,29.23,2.28456,38,0.618,0.074,0,0.00238503,0.00056773,0.00005313,0.01215984,,0.00000696,0.00097892,0,0,0.3467,0.0266,0.16987306,0.54317306,0.0674,0.159,106.5,0.3,1.84,4,5,1,1,5,46,Ⅲ,강화해역,201903,137125.0439,561699.5185
17,17,2019년 1분기,2019,1,17,만석부두 부근,2019-02-13 9:50,0.7,8.06,11.69,28.03,1.84368,2400,4.829,0.16,0,0.00284252,0.00023816,0.00050265,0.02314745,,0.00001025,0.01417224,0.00007,0,1.0594,0.0413,4.02282515,5.12352515,0.111,0.29,100,1.5,3.26,5,5,1,1,1,36,Ⅲ,인천해역,201903,167084.0735,544075.9303
18,18,2019년 1분기,2019,1,18,영흥도 남방,2019-02-12 15:00,2,8.05,11.45,30.88,0.48096,2,0.264,0.041,0,0.01335591,0.00040137,0.00003644,0.01603879,,0.0000106,0.00302116,0.00019,0,0.1786,0.0129,0.03541475,0.22691475,0.0376,0,101.7,1.9,1.29,1,4,1,1,1,26,Ⅱ,인천해역,201903,150438.9767,512526.3673
19,19,2019년 1분기,2019,1,19,선수 앞바다,2019-02-14 8:54,0.8,7.9,12.18,28.12,2.004,43,0.799,0.067,0,0.00849692,0.00052317,0.00006888,0.01356728,,0.0000106,0.00288793,0.00012,0,0.4944,0.0371,0.23346196,0.76496196,0.0569,0.131,113.7,0.4,1.77,5,5,1,1,5,48,Ⅳ,강화해역,201903,145326.6913,560099.6603
20,20,2019년 1분기,2019,1,20,교동 아래,2019-02-14 10:26,0.6,7.9,12,27.54,2.88576,35,0.997,0.119,0,0.00537346,0.00072761,0.00028506,0.01250833,,0.00001121,0.0111249,0,0,0.5754,0.0795,0.25101778,0.90591778,0.0934,1.146,110.4,0.2,2.11,5,5,1,1,5,48,Ⅳ,강화해역,201903,137584.8299,573875.1441
21,21,2019년 1분기,2019,1,21,서도 주문도 아래,2019-02-14 9:52,0.8,8.01,11.75,30.2,2.08416,23,0.458,0.064,0,0.0023124,0.00036684,0.00004761,0.01148803,,0.00001363,0.00080598,0,0,0.2873,0.0168,0.12277828,0.42687828,0.0621,0,114.1,0.3,2.27,2,5,1,1,5,42,Ⅲ,강화해역,201903,132714.7071,561980.8649
22,22,2019년 1분기,2019,1,22,창후리 앞바다,2019-02-14 10:36,0.1,7.96,12.32,25.47,3.12624,44,1.124,0.108,0,0.0029466,0.00049566,0.00006534,0.01241447,,0.00001102,0.00115621,0,0,0.7591,0.108,0.26730885,1.13440885,0.089,0,110.8,0.2,2.06,5,5,1,1,5,48,Ⅳ,강화해역,201903,142394.0567,572020.9837
23,23,2019년 1분기,2019,1,23,외포리 앞바다,2019-02-14 10:53,0.3,7.95,12.12,27.43,2.04408,64,0.827,0.106,0,0.00170522,0.0004771,0.0000391,0.01216635,,0.00001553,0.00056802,0,0,0.5538,0.0731,0.19155814,0.81845814,0.0954,1.015,106.4,0.2,2.08,5,5,1,1,5,48,Ⅳ,강화해역,201903,145606.3345,565339.3221
24,24,2019년 1분기,2019,1,24,초지리 앞바다,2019-02-13 10:47,0.6,8.07,12.21,27.35,0.84168,30,1.022,0.067,0,0.00135074,0.00022863,0.00003573,0.01168082,,0.00001102,0.00115223,0,0,0.5592,0.0413,0.40044484,1.00094484,0.0598,1.291,100.9,0.6,1.66,5,5,1,1,4,45,Ⅲ,강화해역,201903,159773.9617,556317.1133
25,25,2019년 1분기,2019,1,25,운염도 북동방,2019-02-13 10:17,0.7,8.07,12.06,28.76,1.16232,51,0.814,0.051,0,0.00151494,0.00013971,0.00004609,0.01250878,,0.0000117,0.00157825,0,0,0.3956,0.022,0.34084235,0.75844235,0.0471,0.145,101.4,1.3,1.47,5,5,1,1,1,36,Ⅲ,인천해역,201903,163991.5287,550347.3535
