objectid,objectid_1,loc_time,loc_year,loc_qtr,loc_no,loc_nm,sample_day,temp,ph,do_,salinity,cod,coliform_cnt,t_n,t_p,cn,cu,pb,cd,zn,cr,as_,ni,hg,phenol,no3_n,no2_n,nh3_n,din,dip,chl_a,low_do,transparency,toc,din_wqi,dip_wqi,chl_a_wqi,low_do_wqi,transparency_wqi,wqi_score,wqi_grade,gubun,timeseries,x,y
301,301,2016년 3분기,2016,3,29,대이작도 서북방,2016-09-22,23.83,7.9,7.23,32.35,1.4,240,0.381,0.042,0,0,0,0,0,0,0,0,0,0,0.07,0.039,0.0049,0.1139,0.0274,2.19,101.1,1.9,0.961,1,1,1,1,1,20,Ⅰ,인천해역,201609,125886.7203,519058.2249
302,302,2016년 3분기,2016,3,30,선갑도 북방,2016-09-22,23.79,7.76,7.38,32.69,1.2,190,0.38,0.023,0,0,0,0,0,0.001,0,0,0,0,0.073,0.041,0.0198,0.1338,0.0309,0,100.1,1.5,0.967,1,2,1,1,1,22,Ⅰ,인천해역,201609,123090.5883,506997.3307
303,303,2016년 3분기,2016,3,31,석모도 서방,2016-09-28,22.83,7.98,6.85,30.19,1.2,260,0.606,0.031,0.001,0,0.001,0,0.002,0,0,0,0,0,0.183,0.035,0.0293,0.2473,0.029,1.31,99.2,0.5,1.196,1,1,1,1,5,32,Ⅱ,강화해역,201609,134720.0093,567576.4563
304,304,2016년 3분기,2016,3,32,장봉도 남동방,2016-09-22,24.31,7.67,7.74,31.58,1.6,240,0.532,0.029,0,0,0,0,0,0,0,0,0,0,0.156,0.018,0.0086,0.1826,0.026,2.33,102.4,1,1.364,1,1,2,1,1,23,Ⅰ,인천해역,201609,147192.8489,545103.3001
305,305,2016년 3분기,2016,3,33,덕적도 서북방,2016-09-22,23.61,7.9,7.5,32.42,0.8,44,0.374,0.016,0,0,0,0,0.005,0,0,0,0,0,0.079,0.034,0.0049,0.1179,0.0336,1.16,101.8,1.3,0.918,1,3,1,1,1,24,Ⅱ,인천해역,201609,111999.9565,510713.2939
306,306,2016년 3분기,2016,3,34,영흥도 서방,2016-09-22,24.93,7.9,7.82,32.04,1.5,170,0.514,0.036,0,0,0,0,0.011,0,0,0,0,0,0.219,0.067,0.0037,0.2897,0.035,2.19,104.5,0.8,1.047,1,3,1,1,3,30,Ⅱ,인천해역,201609,148653.3443,518918.8791
307,307,2016년 2분기,2016,2,1,인천항 도크내,2016-05-20,17.2,7.8,8.8,29.2,1.5,54,0.816,0.035,0,0,0,0,0,0,0,0.001,0,0,0.427,0.023,0.2414,0.6914,0.027,6.68,106.4,0.5,1.5588,5,1,5,1,5,52,Ⅳ,인천해역,201606,165595.9593,540628.9499
308,308,2016년 2분기,2016,2,34,영흥도 서방,2016-05-19,15.4,7.9,9.7,31.5,1.5,37,0.498,0.025,0,0,0,0,0.018,0,0,0,0,0,0.185,0.014,0.1562,0.3552,0.022,4.5,111.1,1.6,1.228,1,1,5,1,1,32,Ⅱ,인천해역,201606,148653.3443,518918.8791
309,309,2016년 2분기,2016,2,3,인천남항 전면,2016-05-20,16.3,7.9,9.1,30.3,1.5,49,0.611,0.023,0,0,0,0,0,0,0,0.001,0,0.001,0.291,0.022,0.1746,0.4876,0.023,7.83,109.9,0.8,1.3308,3,1,5,1,3,42,Ⅲ,인천해역,201606,164599.2403,537395.9511
310,310,2016년 2분기,2016,2,4,오이도 북방,2016-05-19,17.2,8,9.2,29.9,1.8,21,0.823,0.035,0,0,0,0,0.014,0,0,0.002,0,0.001,0.275,0.035,0.3947,0.7047,0.032,15.81,113.3,0.8,1.994,5,2,5,1,3,48,Ⅳ,인천해역,201606,172412.9213,528703.3205
311,311,2016년 2분기,2016,2,5,세어도 우측,2016-05-20,18.6,7.6,8.1,20.1,2.8,35,1.69,0.045,0,0,0.001,0,0.02,0,0,0,0,0.001,1.28,0.057,0.2259,1.5629,0.041,3.35,98.4,0.4,2.301,5,4,5,1,5,58,Ⅳ,인천해역,201606,162943.9033,552109.3209
312,312,2016년 2분기,2016,2,6,영종도 동남방,2016-05-20,16.3,7.9,9.5,30.6,1.8,34,0.534,0.014,0,0,0,0,0,0.001,0,0.001,0,0.002,0.233,0.029,0.1615,0.4235,0.013,12.33,108.3,0.9,1.489,1,1,5,1,3,38,Ⅲ,인천해역,201606,161378.6589,532076.6217
313,313,2016년 2분기,2016,2,7,무의도 남방,2016-05-19,14.7,7.9,9.6,31.7,1.4,28,0.41,0.018,0,0.001,0,0,0.027,0,0,0,0,0.002,0.177,0.022,0.1564,0.3554,0.015,2.18,111.3,1.4,1.216,1,1,1,1,1,20,Ⅰ,인천해역,201606,146295.9739,524020.6439
314,314,2016년 2분기,2016,2,8,큰가리섬 서북방향,2016-05-19,14.2,7.9,10.1,32.2,2.5,12,0.618,0.018,0,0,0,0,0.023,0,0,0.001,0,0.001,0.212,0.034,0.1729,0.4189,0.013,23.5,115.7,1,1.532,1,1,5,1,1,32,Ⅱ,인천해역,201606,164303.7937,525774.3435
315,315,2016년 2분기,2016,2,9,대부도 북단,2016-05-19,17.9,7.9,9.7,30.4,2,7,0.522,0.015,0.001,0.001,0,0,0,0,0,0.001,0,0.001,0.188,0.03,0.1588,0.3768,0.01,10.15,122.6,2.2,1.47,1,1,5,1,1,32,Ⅱ,인천해역,201606,159865.1313,524252.9533
316,316,2016년 2분기,2016,2,10,영흥도 북단,2016-05-19,15.7,7.9,9.5,31.3,1.6,2,0.433,0.014,0,0,0,0,0.02,0,0,0,0,0.001,0.153,0.028,0.156,0.337,0.011,6.67,110.3,3,1.41,1,1,5,1,1,32,Ⅱ,인천해역,201606,155689.0467,526123.8003
317,317,2016년 2분기,2016,2,11,덕적도 북방(1),2016-05-19,14.3,7.9,9.3,32.5,0.6,2,0.438,0.021,0,0,0,0,0,0,0,0,0,0,0.16,0.033,0.1584,0.3514,0.021,2.19,106.8,2,1.251,1,1,1,1,1,20,Ⅰ,인천해역,201606,125192.1991,529578.1399
318,318,2016년 2분기,2016,2,12,인천공항 하단,2016-05-19,16.9,8.7,9.4,31,2.6,102,0.541,0.017,0,0.002,0.001,0,0.025,0,0,0,0,0,0.193,0.036,0.1631,0.3921,0.016,10.02,116.8,0.2,1.532,1,1,5,1,5,44,Ⅲ,인천해역,201606,153523.2117,535076.3497
319,319,2016년 2분기,2016,2,13,덕적도 북방(2),2016-05-19,14,8,10.6,32.6,1.2,4,0.442,0.02,0,0.002,0,0,0.008,0.001,0,0,0,0,0.18,0.038,0.1597,0.3777,0.018,2.32,113.8,1.1,1.169,1,1,2,1,1,23,Ⅰ,인천해역,201606,125056.9261,541912.4225
320,320,2016년 2분기,2016,2,14,용유도 서방,2016-05-19,15.5,7.9,9.4,30.7,1.3,19,0.577,0.023,0,0.002,0,0,0,0,0,0,0,0,0.287,0.046,0.1555,0.4885,0.023,4.51,112,0.8,1.337,3,1,5,1,3,42,Ⅲ,인천해역,201606,139282.7733,538250.9339
321,321,2016년 2분기,2016,2,15,장봉도 서방,2016-05-31,18.2,7.7,8.4,28.2,2.1,140,0.707,0.025,0.001,0.001,0,0,0.026,0,0,0,0.00006,0,0.394,0.007,0.0567,0.4577,0.017,6.96,105,0.8,1.355,2,1,5,1,3,40,Ⅲ,강화해역,201606,125414.7601,554396.6735
322,322,2016년 2분기,2016,2,16,석모도 서남방,2016-05-31,17.8,7.9,8.7,29.2,2.6,41,0.64,0.025,0,0.001,0,0,0,0,0,0,0,0,0.302,0.01,0.0874,0.3994,0.016,7.99,107.4,0.8,1.359,1,1,5,1,3,38,Ⅲ,강화해역,201606,137125.0439,561699.5185
323,323,2016년 2분기,2016,2,17,만석부두 부근,2016-05-20,18.4,7.6,7.9,26.3,3.8,122,1.981,0.114,0.001,0.002,0,0.001,0.01,0,0,0.004,0,0,0.851,0.075,1.1106,2.0366,0.081,8.99,100.3,1.2,2.763,5,5,5,1,1,48,Ⅳ,인천해역,201606,167084.0735,544075.9303
324,324,2016년 2분기,2016,2,18,영흥도 남방,2016-05-19,14.2,7.9,10.1,32.2,1.2,20,0.396,0.02,0.001,0.001,0,0,0,0,0,0.001,0,0,0.137,0.035,0.1593,0.3313,0.018,3.35,115.7,1,1.405,1,1,5,1,1,32,Ⅱ,인천해역,201606,150438.9767,512526.3673
325,325,2016년 2분기,2016,2,19,선수 앞바다,2016-05-31,18.3,7.9,8.6,28.1,2.1,24,0.741,0.026,0.001,0,0,0,0.006,0,0,0,0,0,0.426,0.01,0.0518,0.4878,0.017,3.63,105.5,0.6,1.462,3,1,5,1,4,45,Ⅲ,강화해역,201606,145326.6913,560099.6603
326,326,2016년 2분기,2016,2,20,교동 아래,2016-05-31,20.6,7.2,7.8,18,4,150,1.71,0.039,0,0.001,0,0,0,0,0,0,0,0,0.228,0.015,0.0543,0.2973,0.021,2.48,96.9,0.3,1.443,1,1,3,1,5,38,Ⅲ,강화해역,201606,137584.8299,573875.1441
327,327,2016년 2분기,2016,2,21,서도 주문도 아래,2016-05-31,18.5,7.6,8.7,27.6,3.2,220,0.814,0.027,0.001,0.001,0,0,0.026,0,0,0,0,0,0.471,0.012,0.0733,0.5563,0.018,7.99,106.2,0.5,1.576,4,1,5,1,5,50,Ⅳ,강화해역,201606,132714.7071,561980.8649
328,328,2016년 2분기,2016,2,22,창후리 앞바다,2016-05-31,20.3,6.7,7.9,18.7,3.9,130,1.832,0.037,0.001,0.001,0,0,0.021,0,0,0,0,0,0.229,0.03,0.0602,0.3192,0.021,2.48,98.7,0.2,1.631,1,1,3,1,5,38,Ⅲ,강화해역,201606,142394.0567,572020.9837
329,329,2016년 2분기,2016,2,23,외포리 앞바다,2016-05-31,19,7.9,8.2,25.1,2.6,67,1.094,0.03,0.001,0.001,0,0,0.018,0,0,0,0,0,0.724,0.01,0.0876,0.8216,0.019,4.65,103.4,0.4,1.691,5,1,5,1,5,52,Ⅳ,강화해역,201606,145606.3345,565339.3221
330,330,2016년 2분기,2016,2,24,초지리 앞바다,2016-05-20,19.2,8,8.5,14.7,2.4,239,2.153,0.039,0,0,0,0,0,0,0,0,0,0,1.747,0.09,0.2159,2.0529,0.03,2.19,95.2,0.2,1.777,5,1,1,1,5,40,Ⅲ,강화해역,201606,159773.9617,556317.1133
331,331,2016년 2분기,2016,2,25,운염도 북동방,2016-05-20,18.3,7.7,8.2,21.3,3.1,62,1.599,0.04,0,0.002,0.001,0,0,0,0,0.001,0,0,1.267,0.068,0.2264,1.5614,0.039,2.33,98.1,0.4,2.379,5,4,2,1,5,49,Ⅳ,인천해역,201606,163991.5287,550347.3535
332,332,2016년 2분기,2016,2,26,LNG기지 북방,2016-05-20,15.9,7.9,10.2,30.9,1.9,19,0.51,0.008,0.001,0.002,0,0,0,0,0,0,0,0,0.215,0.034,0.1618,0.4108,0.007,12.34,114.7,1.2,1.385,1,1,5,1,1,32,Ⅱ,인천해역,201606,163827.1581,529414.2955
333,333,2016년 2분기,2016,2,27,장봉도 서남방,2016-05-31,17.5,7.9,9,29.4,2.2,39,0.611,0.017,0.001,0.001,0,0,0,0,0,0,0,0,0.288,0.008,0.0352,0.3312,0.016,5.95,110.5,0.6,1.351,1,1,5,1,4,41,Ⅲ,강화해역,201606,136305.9251,553997.5815
334,334,2016년 2분기,2016,2,28,덕적도 서방,2016-05-19,14,7.9,9.6,32.1,1.4,4,0.456,0.02,0.001,0,0,0,0,0,0,0,0,0,0.185,0.028,0.1568,0.3698,0.016,1.16,109.4,1.6,1.229,1,1,1,1,1,20,Ⅰ,인천해역,201606,116582.3923,517603.9209
335,335,2016년 2분기,2016,2,29,대이작도 서북방,2016-05-19,12.8,7.9,9.9,32.8,1.4,5,0.417,0.018,0,0.002,0,0,0,0,0,0,0,0.001,0.189,0.025,0.1586,0.3726,0.017,2.18,110.6,1,1.349,1,1,1,1,1,20,Ⅰ,인천해역,201606,125886.7203,519058.2249
336,336,2016년 2분기,2016,2,30,선갑도 북방,2016-05-19,12.8,7.8,9.9,32.4,1.5,6,0.44,0.023,0.001,0.001,0,0,0.03,0,0,0,0,0,0.213,0.007,0.1571,0.3771,0.022,1.57,106.7,1.2,1.476,1,1,1,1,1,20,Ⅰ,인천해역,201606,123090.5883,506997.3307
337,337,2016년 2분기,2016,2,31,석모도 서방,2016-05-31,19.3,7.4,8.1,23.8,4.7,81,1.2,0.045,0.001,0,0.001,0,0,0,0,0,0,0,0.8,0.01,0.0305,0.8405,0.02,6.83,101.8,0.3,1.971,5,1,5,1,5,52,Ⅳ,강화해역,201606,134720.0093,567576.4563
338,338,2016년 2분기,2016,2,32,장봉도 남동방,2016-05-19,16.8,7.9,9.8,29.2,1.3,23,0.878,0.037,0,0,0,0,0.005,0,0,0,0,0,0.484,0.029,0.1553,0.6683,0.034,4.51,113.6,0.7,1.612,5,3,5,1,4,53,Ⅳ,인천해역,201606,147192.8489,545103.3001
339,339,2016년 2분기,2016,2,33,덕적도 서북방,2016-05-19,13.1,7.8,9.6,32.4,0.7,5,0.445,0.021,0.001,0,0,0,0,0,0,0,0,0,0.206,0.017,0.1571,0.3801,0.02,2.19,107.4,1.2,1.179,1,1,1,1,1,20,Ⅰ,인천해역,201606,111999.9565,510713.2939
340,340,2016년 2분기,2016,2,2,만석동 영종도 중간,2016-05-20,17.1,7.8,8.5,28.2,2.4,48,0.916,0.036,0,0,0,0,0.023,0,0,0.001,0,0,0.517,0.03,0.2267,0.7737,0.033,7.84,104,0.7,1.7938,5,3,5,1,4,53,Ⅳ,인천해역,201606,164602.3001,543901.1315
341,341,2016년 1분기,2016,1,9,대부도 북단,2016-03-15,5,7.9,7.8,31.7,1.4,7,0.559,0.065,0,0,0,0,0,0,0.001,0,0,0,0.2893,0.0122,0.023,0.3245,0.0289,5.8,84.5,1.3,1.33,1,1,5,2,1,42,Ⅲ,인천해역,201603,159865.1313,524252.9533
342,342,2016년 1분기,2016,1,8,큰가리섬 서북방향,2016-03-15,5.1,7.9,8,31.5,1.2,4,0.625,0.07,0,0.003,0,0,0.001,0,0.001,0.001,0,0,0.3007,0.014,0.058,0.3727,0.0278,6.82,88.8,1.6,1.433,1,1,5,2,1,42,Ⅲ,인천해역,201603,164303.7937,525774.3435
343,343,2016년 1분기,2016,1,11,덕적도 북방(1),2016-03-15,4.2,7.9,9.3,32.6,1.6,27,0.44,0.061,0,0,0.001,0,0,0,0,0,0,0,0.2316,0.015,0.012,0.2586,0.0295,2.33,114.6,1.2,1.471,1,1,2,1,1,23,Ⅰ,인천해역,201603,125192.1991,529578.1399
344,344,2016년 1분기,2016,1,12,인천공항 하단,2016-03-15,5,8.5,8.9,32.2,1.2,1,0.574,0.076,0,0.003,0.001,0,0.004,0,0,0,0,0.001,0.2948,0.0111,0.017,0.3229,0.0419,1.16,86,0.9,1.466,1,4,1,2,3,42,Ⅲ,인천해역,201603,153523.2117,535076.3497
345,345,2016년 1분기,2016,1,13,덕적도 북방(2),2016-03-15,4.2,7.9,8.8,33.4,1.7,31,0.469,0.061,0,0,0.001,0,0.011,0,0,0,0,0,0.223,0.0139,0.018,0.2549,0.032,2.32,115.2,0.9,1.807,1,2,2,1,3,31,Ⅱ,인천해역,201603,125056.9261,541912.4225
346,346,2016년 1분기,2016,1,14,용유도 서방,2016-03-15,4.8,7.9,6,32.4,1.2,7,0.508,0.06,0,0.001,0,0,0,0,0,0,0,0,0.2703,0.0166,0.003,0.2899,0.0426,2.47,113.5,0.7,1.351,1,4,3,1,4,41,Ⅲ,인천해역,201603,139282.7733,538250.9339
347,347,2016년 1분기,2016,1,15,장봉도 서방,2016-03-22,6,7.8,9.4,31,2,27,0.888,0.041,0,0,0.001,0,0,0,0,0,0.00006,0,0.4194,0.0776,0.125,0.622,0.03,4.5,99.7,0.2,1.35,4,1,5,1,5,50,Ⅳ,강화해역,201603,125414.7601,554396.6735
348,348,2016년 1분기,2016,1,16,석모도 서남방,2016-03-22,6,7.9,10.5,30,3.2,19,1.11,0.044,0,0.004,0.001,0,0.001,0,0,0,0,0,0.534,0.131,0.086,0.751,0.041,5.8,102.8,0.2,1.365,5,4,5,1,5,58,Ⅳ,강화해역,201603,137125.0439,561699.5185
349,349,2016년 1분기,2016,1,17,만석부두 부근,2016-03-16,5.8,7.8,8.3,28.8,3.5,3280,2.698,0.153,0.002,0.004,0,0,0.002,0,0,0.008,0,0,0.8635,0.0583,2.082,3.0038,0.0896,2.47,101,0.9,3.568,5,5,3,1,3,48,Ⅳ,인천해역,201603,167084.0735,544075.9303
350,350,2016년 1분기,2016,1,18,영흥도 남방,2016-03-15,4.7,7.9,8.4,32.6,1.3,10,0.554,0.071,0.001,0.005,0,0,0.001,0,0,0.001,0,0.001,0.2707,0.0139,0.018,0.3026,0.044,2.33,93.9,0.9,1.382,1,4,2,1,3,35,Ⅲ,인천해역,201603,150438.9767,512526.3673
351,351,2016년 1분기,2016,1,19,선수 앞바다,2016-03-22,6.3,8.3,11.3,29.2,3.3,26,1.409,0.056,0,0.002,0.002,0,0.002,0,0,0,0,0.002,0.6908,0.1972,0.092,0.98,0.054,5.8,108.3,0.2,1.621,5,5,5,1,5,60,Ⅴ,강화해역,201603,145326.6913,560099.6603
352,352,2016년 1분기,2016,1,20,교동 아래,2016-03-22,7.2,7.8,9.5,23.6,3,59,2.082,0.055,0.001,0,0.001,0,0,0,0,0,0,0.006,1.7267,0.0443,0.171,1.942,0.042,5.66,90.8,0.2,1.579,5,4,5,1,5,58,Ⅳ,강화해역,201603,137584.8299,573875.1441
353,353,2016년 1분기,2016,1,21,서도 주문도 아래,2016-03-22,6.1,7.7,8,31.2,2.5,31,0.991,0.054,0.001,0,0,0,0,0,0,0,0,0.005,0.4697,0.0903,0.1,0.66,0.031,3.48,95.5,0.2,1.443,5,2,5,1,5,54,Ⅳ,강화해역,201603,132714.7071,561980.8649
354,354,2016년 1분기,2016,1,22,창후리 앞바다,2016-03-22,7.5,7.7,9,23.8,5.6,75,2.054,0.051,0.001,0,0,0,0.002,0,0,0,0,0.004,1.5975,0.1705,0.145,1.913,0.02,6.82,85.4,0.2,1.559,5,1,5,2,5,62,Ⅴ,강화해역,201603,142394.0567,572020.9837
355,355,2016년 1분기,2016,1,23,외포리 앞바다,2016-03-22,7.1,7.6,9.2,23.5,3.4,34,2.107,0.059,0.001,0,0,0,0,0,0,0,0,0.003,1.5922,0.2228,0.161,1.976,0.026,5.8,95.4,0.2,1.497,5,1,5,1,5,52,Ⅳ,강화해역,201603,145606.3345,565339.3221
356,356,2016년 1분기,2016,1,24,초지리 앞바다,2016-03-16,5.6,7.8,7.4,28.9,1.8,104,1.422,0.074,0,0,0.001,0,0,0,0,0,0,0.003,0.7487,0.0979,0.24,1.0866,0.0616,4.64,70.3,0.6,1.648,5,5,5,3,4,77,Ⅴ,강화해역,201603,159773.9617,556317.1133
357,357,2016년 1분기,2016,1,25,운염도 북동방,2016-03-16,5.3,7.8,7.6,31.2,1.8,172,1.013,0.075,0,0,0.001,0,0,0,0,0.001,0,0.003,0.46,0.044,0.187,0.691,0.05,5.8,99.4,0.6,1.529,5,5,5,1,4,57,Ⅳ,인천해역,201603,163991.5287,550347.3535
358,358,2016년 1분기,2016,1,26,LNG기지 북방,2016-03-16,5,7.8,12.5,32.7,1,28,0.669,0.074,0.001,0,0.001,0,0,0,0.001,0.001,0,0.003,0.289,0.0141,0.176,0.4791,0.0302,4.64,116,0.9,1.54,3,2,5,1,3,44,Ⅲ,인천해역,201603,163827.1581,529414.2955
359,359,2016년 1분기,2016,1,27,장봉도 서남방,2016-03-22,6.3,7.8,10.5,30.6,4.2,107,1.027,0.057,0.001,0,0.001,0,0,0,0,0,0,0.003,0.4671,0.1279,0.06,0.655,0.041,10.16,106.2,0.2,1.358,5,4,5,1,5,58,Ⅳ,강화해역,201603,136305.9251,553997.5815
360,360,2016년 1분기,2016,1,28,덕적도 서방,2016-03-15,4.1,7.9,9.1,32.4,1.6,38,0.503,0.072,0.001,0,0,0,0,0,0,0,0,0.003,0.2152,0.0186,0.004,0.2378,0.0364,3.48,95.6,1,1.555,1,3,5,1,1,36,Ⅲ,인천해역,201603,116582.3923,517603.9209
361,361,2016년 1분기,2016,1,29,대이작도 서북방,2016-03-15,4.9,7.9,8.2,32.3,0.9,11,0.528,0.089,0,0.001,0,0,0,0,0,0,0,0.003,0.223,0.0106,0.028,0.2616,0.0274,1.31,108,1,1.395,1,1,1,1,1,20,Ⅰ,인천해역,201603,125886.7203,519058.2249
362,362,2016년 1분기,2016,1,30,선갑도 북방,2016-03-15,4.7,7.9,7.1,32.1,1,11,0.536,0.073,0,0,0.001,0,0,0,0,0,0,0.003,0.2238,0.0124,0.011,0.2472,0.0309,4.21,102.1,1,1.414,1,2,5,1,1,34,Ⅲ,인천해역,201603,123090.5883,506997.3307
363,363,2016년 1분기,2016,1,31,석모도 서방,2016-03-22,6.5,7.8,10,27.7,4.2,62,1.534,0.056,0,0,0.001,0,0,0,0,0,0,0.003,0.9623,0.2067,0.105,1.274,0.04,5.8,105.4,0.2,1.431,5,4,5,1,5,58,Ⅳ,강화해역,201603,134720.0093,567576.4563
364,364,2016년 1분기,2016,1,32,장봉도 남동방,2016-03-15,4.8,7.9,6.3,31.7,1.4,15,0.854,0.074,0,0,0.001,0,0,0,0,0,0,0.003,0.3819,0.036,0.062,0.4799,0.0472,2.47,102.5,0.8,1.411,3,5,3,1,3,44,Ⅲ,인천해역,201603,147192.8489,545103.3001
365,365,2016년 1분기,2016,1,33,덕적도 서북방,2016-03-15,4.4,7.9,9.4,32.7,1.5,10,0.62,0.081,0.001,0,0.001,0,0,0,0,0.001,0,0.001,0.2177,0.0165,0.011,0.2452,0.0336,1.31,110.3,1,1.461,1,3,1,1,1,24,Ⅱ,인천해역,201603,111999.9565,510713.2939
366,366,2016년 1분기,2016,1,34,영흥도 서방,2016-03-15,5.8,7.9,7.2,31.9,0.8,22,0.661,0.073,0.001,0,0,0,0,0,0,0,0,0,0.2745,0.0131,0.026,0.3136,0.0386,2.47,94,1,1.492,1,4,3,1,1,32,Ⅱ,인천해역,201603,148653.3443,518918.8791
367,367,2016년 1분기,2016,1,1,인천항 도크내,2016-03-16,5,7.9,9.9,31.1,2.2,210,0.8,0.055,0,0,0.001,0,0.002,0,0,0.001,0,0,0.4184,0.031,0.126,0.5754,0.0408,5.66,92.2,0.9,1.439,4,4,5,1,3,50,Ⅳ,인천해역,201603,165595.9593,540628.9499
368,368,2016년 1분기,2016,1,2,만석동 영종도 중간,2016-03-16,5,7.8,9.1,30.9,2.2,37,0.808,0.045,0,0,0,0,0.003,0,0,0.001,0,0,0.4408,0.0349,0.133,0.6087,0.0421,4.64,86.9,0.7,1.451,4,4,5,2,4,63,Ⅴ,인천해역,201603,164602.3001,543901.1315
369,369,2016년 1분기,2016,1,3,인천남항 전면,2016-03-16,4.9,7.8,10.2,31.5,1.8,13,0.587,0.033,0,0.001,0,0,0.013,0,0,0.001,0,0,0.3172,0.0179,0.023,0.3581,0.0293,9.14,98.8,1.2,1.392,1,1,5,1,1,32,Ⅱ,인천해역,201603,164599.2403,537395.9511
370,370,2016년 1분기,2016,1,4,오이도 북방,2016-03-15,5,7.9,7.9,31.2,1.8,11,0.798,0.04,0,0.001,0,0,0.012,0,0,0.001,0,0,0.3407,0.0227,0.232,0.5954,0.0387,6.82,88.9,0.9,1.491,4,4,5,2,3,60,Ⅴ,인천해역,201603,172412.9213,528703.3205
371,371,2016년 1분기,2016,1,5,세어도 우측,2016-03-16,5.4,7.8,7.4,31,4.3,96,0.929,0.051,0,0,0,0,0.012,0,0,0.001,0,0,0.4792,0.0452,0.174,0.6984,0.0496,5.8,90.6,0.7,1.483,5,5,5,1,4,57,Ⅳ,인천해역,201603,162943.9033,552109.3209
372,372,2016년 1분기,2016,1,6,영종도 동남방,2016-03-16,4.6,7.8,11.1,31.6,2.5,15,0.657,0.047,0,0,0,0,0.004,0,0,0.001,0,0,0.2991,0.0162,0.044,0.3593,0.0356,4.64,117.5,0.8,1.329,1,3,5,1,3,42,Ⅲ,인천해역,201603,161378.6589,532076.6217
373,373,2016년 1분기,2016,1,7,무의도 남방,2016-03-15,4.8,7.9,7.6,31.9,1.5,2,0.501,0.064,0,0.001,0,0,0,0.002,0,0,0,0,0.2599,0.0085,0.018,0.2864,0.0363,2.32,88,1.1,1.234,1,3,2,2,1,37,Ⅲ,인천해역,201603,146295.9739,524020.6439
374,374,2016년 1분기,2016,1,10,영흥도 북단,2016-03-15,4.9,7.9,7.9,32.1,2.1,12,0.559,0.065,0,0.002,0.002,0,0,0,0.001,0,0,0,0.2791,0.0128,0.027,0.3189,0.0336,3.63,91.8,1.2,1.327,1,3,5,1,1,36,Ⅲ,인천해역,201603,155689.0467,526123.8003
375,375,2015년 4분기,2015,4,27,장봉도 서남방,2015-12-10,8.14,7.85,3.6,30.61,2.7,2,0.704,0.036,0,0.001,0,0,0.001,0,0,0,0.00018,0,0.462,0.01,0,0.472,0.0479,2.32,37.2,0.2,1.581,3,5,2,5,5,87,Ⅴ,강화해역,201512,136305.9251,553997.5815
376,376,2015년 4분기,2015,4,26,LNG기지 북방,2015-11-06,16.81,7.83,4.8,31.76,0.6,2,0.499,0.046,0,0.002,0.001,0,0.002,0,0,0.001,0,0,0.1993,0.0505,0.016,0.2657,0.0376,0.15,62.8,2,0.729,1,4,1,4,1,56,Ⅳ,인천해역,201512,163827.1581,529414.2955
377,377,2015년 4분기,2015,4,29,대이작도 서북방,2015-11-05,18.7,7.88,4.05,32.27,1,2,0.36,0.027,0,0,0,0,0.001,0,0,0,0,0,0.1081,0.0009,0.009,0.1176,0.0233,0.15,52.4,1.8,0.675,1,1,1,4,1,50,Ⅳ,인천해역,201512,125886.7203,519058.2249
378,378,2015년 4분기,2015,4,30,선갑도 북방,2015-11-05,18.52,7.88,4.3,32.02,1.1,2,0.34,0.027,0,0,0,0,0,0,0,0,0,0,0.1046,0.0015,0.007,0.1134,0.0236,0,57.8,2.5,0.648,1,1,1,4,1,50,Ⅳ,인천해역,201512,123090.5883,506997.3307
379,379,2015년 4분기,2015,4,31,석모도 서방,2015-12-10,7.44,7.72,3.82,27.75,5.8,2,1.223,0.074,0,0,0,0,0,0,0,0,0.00023,0,0.8073,0.0109,0.027,0.8457,0.0585,3.49,37.9,0.2,1.312,5,5,5,5,5,100,Ⅴ,강화해역,201512,134720.0093,567576.4563
380,380,2015년 4분기,2015,4,32,장봉도 남동방,2015-11-05,16.16,7.78,3.46,31.33,1.4,2,0.516,0.038,0,0,0,0,0.002,0,0,0,0,0,0.2648,0.0023,0.015,0.2817,0.0331,0,44.5,0.7,0.734,1,3,1,5,4,73,Ⅴ,인천해역,201512,147192.8489,545103.3001
381,381,2015년 4분기,2015,4,33,덕적도 서북방,2015-11-05,18.31,7.83,4.38,32.5,0.8,2,0.337,0.028,0,0.001,0,0,0.001,0.001,0,0,0,0,0.1055,0.0018,0.005,0.1122,0.0237,0,59.4,2,0.674,1,1,1,4,1,50,Ⅳ,인천해역,201512,111999.9565,510713.2939
382,382,2015년 4분기,2015,4,34,영흥도 서방,2015-11-06,17.86,7.78,5.97,31.29,1.2,2,0.453,0.039,0,0.001,0,0,0.001,0.001,0,0,0,0,0.1771,0.0224,0.032,0.2312,0.0331,0,77.3,1.4,0.727,1,3,1,3,1,44,Ⅲ,인천해역,201512,148653.3443,518918.8791
383,383,2015년 4분기,2015,4,1,인천항 도크내,2015-11-06,16.42,7.81,5.01,31.26,1.4,230,0.581,0.049,0,0.001,0.001,0,0.002,0,0,0.001,0,0,0.2561,0.0496,0.093,0.3983,0.049,0.15,60,0.6,13.33,1,5,1,4,4,67,Ⅴ,인천해역,201512,165595.9593,540628.9499
